PRGT:5018,0,"Scanning CD-ROM devices"
PRGV:7796,7784,65536
PRGV:7796,7796,65536
PRGV:7837,7796,65536
PRGV:7837,7837,65536
PRGV:7850,7837,65536
PRGV:7850,7850,65536
PRGV:7891,7850,65536
PRGV:7891,7891,65536
PRGV:7905,7891,65536
PRGV:7905,7905,65536
PRGV:7917,7905,65536
PRGV:7917,7917,65536
PRGV:7957,7917,65536
PRGV:7957,7958,65536
PRGV:7970,7958,65536
PRGV:7970,7971,65536
PRGV:8012,7971,65536
PRGV:8012,8012,65536
PRGV:8025,8012,65536
PRGV:8025,8026,65536
PRGV:8037,8026,65536
PRGV:8037,8037,65536
PRGV:8078,8037,65536
PRGV:8078,8078,65536
PRGV:8090,8078,65536
PRGV:8090,8090,65536
PRGV:8131,8090,65536
PRGV:8131,8131,65536
PRGV:8142,8131,65536
PRGV:8142,8143,65536
PRGV:8155,8143,65536
PRGV:8155,8156,65536
PRGV:8197,8156,65536
PRGV:8197,8198,65536
PRGV:8210,8198,65536
PRGV:8210,8210,65536
PRGV:8253,8210,65536
PRGV:8253,8253,65536
PRGV:8266,8253,65536
PRGV:8266,8266,65536
PRGV:8278,8266,65536
PRGV:8278,8278,65536
PRGV:8319,8278,65536
PRGV:8319,8319,65536
PRGV:8332,8319,65536
PRGV:8332,8332,65536
PRGV:8373,8332,65536
PRGV:8373,8373,65536
PRGV:8387,8373,65536
PRGV:8387,8387,65536
PRGV:8398,8387,65536
PRGV:8398,8399,65536
PRGV:8439,8399,65536
PRGV:8439,8440,65536
PRGV:8453,8440,65536
PRGV:8453,8453,65536
PRGV:8486,8453,65536
PRGV:8486,8486,65536
PRGV:8499,8486,65536
PRGV:8499,8499,65536
PRGV:8541,8499,65536
PRGV:8541,8541,65536
PRGV:8553,8541,65536
PRGV:8553,8553,65536
PRGV:8565,8553,65536
PRGV:8565,8565,65536
PRGV:8607,8565,65536
PRGV:8607,8607,65536
PRGV:8619,8607,65536
PRGV:8619,8619,65536
PRGV:8661,8619,65536
PRGV:8661,8661,65536
PRGV:8673,8661,65536
PRGV:8673,8673,65536
PRGV:8685,8673,65536
PRGV:8685,8685,65536
PRGV:8727,8685,65536
PRGV:8727,8727,65536
PRGV:8740,8727,65536
PRGV:8740,8740,65536
PRGV:8781,8740,65536
PRGV:8781,8782,65536
PRGV:8794,8782,65536
PRGV:8794,8794,65536
PRGV:8806,8794,65536
PRGV:8806,8806,65536
PRGV:8847,8806,65536
PRGV:8847,8848,65536
PRGV:8860,8848,65536
PRGV:8860,8860,65536
PRGV:8902,8860,65536
PRGV:8902,8902,65536
PRGV:8914,8902,65536
PRGV:8914,8915,65536
PRGV:8927,8915,65536
PRGV:8927,8927,65536
PRGV:8968,8927,65536
PRGV:8968,8968,65536
PRGV:8980,8968,65536
PRGV:8980,8980,65536
PRGV:9015,8980,65536
PRGV:9015,9015,65536
PRGV:9027,9015,65536
PRGV:9027,9028,65536
PRGV:9069,9028,65536
PRGV:9069,9069,65536
PRGV:9082,9069,65536
PRGV:9082,9082,65536
PRGV:9094,9082,65536
PRGV:9094,9095,65536
PRGV:9135,9095,65536
PRGV:9135,9135,65536
PRGV:9149,9135,65536
PRGV:9149,9149,65536
PRGV:9189,9149,65536
PRGV:9189,9190,65536
PRGV:9203,9190,65536
PRGV:9203,9203,65536
PRGV:9215,9203,65536
PRGV:9215,9215,65536
PRGV:9256,9215,65536
PRGV:9256,9256,65536
PRGV:9269,9256,65536
PRGV:9269,9269,65536
PRGV:9302,9269,65536
PRGV:9302,9302,65536
PRGV:9315,9302,65536
PRGV:9315,9315,65536
PRGV:9357,9315,65536
PRGV:9357,9357,65536
PRGV:9369,9357,65536
PRGV:9369,9369,65536
PRGV:9381,9369,65536
PRGV:9381,9381,65536
PRGV:9424,9381,65536
PRGV:9424,9424,65536
PRGV:9437,9424,65536
PRGV:9437,9437,65536
PRGV:9477,9437,65536
PRGV:9477,9477,65536
PRGV:9490,9477,65536
PRGV:9490,9490,65536
PRGV:9502,9490,65536
PRGV:9502,9502,65536
PRGV:9543,9502,65536
PRGV:9543,9543,65536
PRGV:9556,9543,65536
PRGV:9556,9556,65536
PRGV:9597,9556,65536
PRGV:9597,9598,65536
PRGV:9610,9598,65536
PRGV:9610,9610,65536
PRGV:9622,9610,65536
PRGV:9622,9622,65536
PRGV:9664,9622,65536
PRGV:9664,9664,65536
PRGV:9677,9664,65536
PRGV:9677,9677,65536
PRGV:9718,9677,65536
PRGV:9718,9718,65536
PRGV:9730,9718,65536
PRGV:9730,9731,65536
PRGV:9743,9731,65536
PRGV:9743,9743,65536
